book_id,title,author,genre,pages,published_year
1245,Wake,Anna Hope,Historical Fiction,304,2014
1246,Charlie Wilson's War: The Extraordinary Story of How the Wildest Man in Congress and a Rogue CIA Agent Changed the History of our Times,George Crile,History,560,2003
1247,Tree and Leaf,J.R.R. Tolkien,Fantasy,92,1964
1248,Haunted London Underground,David Brandon,Nonfiction,96,2008
1249,Deliver Us From Evil: Restoring the Soul in a Disintergrating Culture,Ravi Zacharias,Christian,272,1996
1250,The Photographer,Emmanuel Guibert,Graphic Novels,288,2003
1251,Barry Lyndon,William Makepeace Thackeray,Classics,220,1844
1252,Why Jesus?: Rediscovering His Truth in an Age of Mass Marketed Spirituality,Ravi Zacharias,Christian,304,2012
1253,Pylon,William Faulkner,Fiction,336,1935
1254,The Door in the Hedge,Robin McKinley,Fantasy,224,1981
1255,C. P. Cavafy: Collected Poems,Constantinos P. Cavafy,Poetry,304,1935
1256,The End of Reason: A Response to the New Atheists,Ravi Zacharias,Nonfiction,143,2008
1257,Disney's Storybook Collection,Nancy Parent,Childrens,320,1998
1258,Spindle's End,Robin McKinley,Fantasy,354,2000
1259,The Grand Weaver: How God Shapes Us Through the Events of Our Lives,Ravi Zacharias,Christian,208,2007
1260,The Three Hostages,John Buchan,Fiction,288,1924
1261,Savage Destiny,Cassie Edwards,Romance,370,2003
1262,The Red Hot Cajun,Sandra Hill ,Romance,318,2005
1263,Savage Heat,Cassie Edwards,Romance,395,1998
1264,"Tall, Dark, and Cajun",Sandra Hill ,Romance,380,2003
1265,"The Incal, Book 2: John Difool, Class ""R"" Detective",Alejandro Jodorowsky,Comics,152,1990
1266,White Light,Rudy Rucker,Science Fiction,269,1980
1267,Crow Planet: Essential Wisdom from the Urban Wilderness,Lyanda Lynn Haupt ,Nonfiction,229,2009
1268,Walt Disney Pictures Presents The Little Mermaid Ariel's Underwater Adventure (A Little Golden Book),Michael Teitelbaum,Childrens,24,1989
1269,The Cajun Cowboy,Sandra Hill ,Romance,349,2004
1270,The Hacker and the Ants,Rudy Rucker,Science Fiction,306,1994
1271,Carving The Light,Sue A. Maynard ,Fiction,178,2010
1272,Wisdom of the Ages: A Modern Master Brings Eternal Truths into Everyday Life,Wayne W. Dyer,Spirituality,288,1975
1273,Spaceland,Rudy Rucker,Science Fiction,304,2002
1274,Behavior Of Moths,Poppy Adams,Fiction,320,2008
1275,Alpha Centauri,William Barton,Science Fiction,448,1997
